display  D   display_settings.c:529  _al_score_display_settings       [   0.12420] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12429] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12439] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12449] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12458] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12480] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12487] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12499] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12506] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12516] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12529] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12538] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12548] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12562] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12570] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12580] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12592] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12601] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12612] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12620] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12633] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12641] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12661] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12671] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12691] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12708] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12725] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12738] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12748] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12769] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12777] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12788] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.12799] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12810] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.12820] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12831] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12844] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12852] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.12865] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12886] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.12912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13036] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13047] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13088] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13107] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13133] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13152] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13193] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13208] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13242] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13256] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13271] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13302] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13330] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13341] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13369] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13386] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
